source_id	link_type	url	http_status	audit_status	checked_date
BATTER_S1_017	raw_data_url	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128216	200	reachable	2026-08-10
BATTER_S1_018	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/34054774/	200	reachable	2026-08-10
BATTER_S1_018	doi_url	https://doi.org/10.3389/fmicb.2021.667450	206	reachable	2026-08-10
BATTER_S1_018	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC8155712/	200	reachable	2026-08-10
BATTER_S1_018	raw_data_url	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA629670	200	reachable	2026-08-10
BATTER_S1_019	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/34874777/	200	reachable	2026-08-10
BATTER_S1_019	doi_url	https://doi.org/10.1128/mSystems.00943-21	403	reachable_restricted	2026-08-10
BATTER_S1_019	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC8651088/	200	reachable	2026-08-10
BATTER_S1_019	raw_data_url	https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA666973	200	reachable	2026-08-10
BATTER_S1_020	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/35491820/	200	reachable	2026-08-10
BATTER_S1_020	doi_url	https://doi.org/10.1128/mbio.00524-22	403	reachable_restricted	2026-08-10
BATTER_S1_020	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC9239193/	200	reachable	2026-08-10
BATTER_S1_020	raw_data_url	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10482	200	reachable	2026-08-10
BATTER_S1_021	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/37402717/	200	reachable	2026-08-10
BATTER_S1_021	doi_url	https://doi.org/10.1038/s41467-023-39576-1	200	reachable	2026-08-10
BATTER_S1_021	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC10319736/	200	reachable	2026-08-10
BATTER_S1_021	raw_data_url	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222084	200	reachable	2026-08-10
BATTER_S1_022	pubmed_url	https://pubmed.ncbi.nlm.nih.gov/37096044/	200	reachable	2026-08-10
BATTER_S1_022	doi_url	https://doi.org/10.1016/j.isci.2023.106465	200	reachable	2026-08-10
BATTER_S1_022	pmc_url	https://pmc.ncbi.nlm.nih.gov/articles/PMC10122055/	200	reachable	2026-08-10
BATTER_S1_022	raw_data_url	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11753	200	reachable	2026-08-10
